FrameworkVersion,"1.0.176.23","clorton (CMS/Main/framework)"
sampletimes,0,1.002747,2.005495,3.008242,4.010989,5.013736,6.016483,7.019231,8.021978,9.024725,10.02747,11.03022,12.03297,13.03571,14.03846,15.04121,16.04396,17.0467,18.04945,19.0522,20.05494,21.05769,22.06044,23.06319,24.06593,25.06868,26.07143,27.07417,28.07692,29.07967,30.08242,31.08517,32.08791,33.09066,34.09341,35.09615,36.0989,37.10165,38.1044,39.10714,40.10989,41.11264,42.11538,43.11813,44.12088,45.12363,46.12637,47.12912,48.13187,49.13462,50.13736,51.14011,52.14286,53.1456,54.14835,55.1511,56.15385,57.15659,58.15934,59.16209,60.16484,61.16758,62.17033,63.17308,64.17583,65.17857,66.18132,67.18407,68.18681,69.18956,70.19231,71.19505,72.1978,73.20055,74.2033,75.20605,76.20879,77.21154,78.21429,79.21703,80.21978,81.22253,82.22527,83.22802,84.23077,85.23351,86.23627,87.23901,88.24176,89.24451,90.24725,91.25,92.25275,93.25549,94.25824,95.26099,96.26373,97.26649,98.26923,99.27198,100.2747,101.2775,102.2802,103.283,104.2857,105.2885,106.2912,107.294,108.2967,109.2995,110.3022,111.3049,112.3077,113.3104,114.3132,115.3159,116.3187,117.3214,118.3242,119.3269,120.3297,121.3324,122.3352,123.3379,124.3407,125.3434,126.3462,127.3489,128.3517,129.3544,130.3571,131.3599,132.3626,133.3654,134.3681,135.3709,136.3736,137.3764,138.3791,139.3819,140.3846,141.3874,142.3901,143.3929,144.3956,145.3983,146.4011,147.4038,148.4066,149.4093,150.4121,151.4148,152.4176,153.4203,154.4231,155.4258,156.4286,157.4313,158.4341,159.4368,160.4396,161.4423,162.4451,163.4478,164.4505,165.4533,166.456,167.4588,168.4615,169.4643,170.467,171.4698,172.4725,173.4753,174.478,175.4808,176.4835,177.4863,178.489,179.4918,180.4945,181.4973,182.5,183.5027,184.5055,185.5082,186.511,187.5137,188.5165,189.5192,190.522,191.5247,192.5275,193.5302,194.533,195.5357,196.5385,197.5412,198.544,199.5467,200.5495,201.5522,202.5549,203.5577,204.5604,205.5632,206.5659,207.5687,208.5714,209.5742,210.5769,211.5797,212.5824,213.5852,214.5879,215.5907,216.5934,217.5962,218.5989,219.6017,220.6044,221.6071,222.6099,223.6126,224.6154,225.6181,226.6209,227.6236,228.6264,229.6291,230.6319,231.6346,232.6374,233.6401,234.6429,235.6456,236.6483,237.6511,238.6538,239.6566,240.6593,241.6621,242.6648,243.6676,244.6703,245.6731,246.6758,247.6786,248.6813,249.6841,250.6868,251.6896,252.6923,253.6951,254.6978,255.7005,256.7033,257.7061,258.7088,259.7115,260.7143,261.717,262.7198,263.7225,264.7253,265.728,266.7308,267.7335,268.7363,269.739,270.7418,271.7445,272.7473,273.75,274.7527,275.7555,276.7582,277.761,278.7637,279.7665,280.7692,281.772,282.7747,283.7775,284.7802,285.783,286.7857,287.7885,288.7912,289.7939,290.7967,291.7994,292.8022,293.8049,294.8077,295.8104,296.8132,297.8159,298.8187,299.8214,300.8242,301.8269,302.8297,303.8324,304.8352,305.8379,306.8407,307.8434,308.8462,309.8489,310.8517,311.8544,312.8571,313.8599,314.8626,315.8654,316.8681,317.8709,318.8736,319.8764,320.8791,321.8819,322.8846,323.8874,324.8901,325.8929,326.8956,327.8983,328.9011,329.9038,330.9066,331.9093,332.9121,333.9148,334.9176,335.9203,336.9231,337.9258,338.9286,339.9313,340.9341,341.9368,342.9396,343.9423,344.9451,345.9478,346.9506,347.9533,348.9561,349.9588,350.9615,351.9643,352.967,353.9698,354.9725,355.9753,356.978,357.9808,358.9835,359.9863,360.989,361.9918,362.9945,363.9973,365
susceptible{0},999,1000,1000,1001,1001,1001,1001,1001,1001,1002,1002,1002,1002,1002,1000,1000,1000,1000,1000,1000,1000,999,999,999,999,999,999,999,999,999,998,998,998,998,998,998,998,998,997,997,997,997,996,996,997,997,997,997,997,997,997,996,995,995,996,996,996,995,995,993,993,993,993,994,993,991,988,988,987,985,983,984,984,984,984,984,984,984,983,982,982,981,981,980,979,979,915,847,771,684,618,563,512,462,419,378,345,300,268,250,230,209,188,170,155,141,128,111,100,91,87,77,70,65,56,54,50,45,40,34,33,27,24,21,18,16,15,13,13,12,11,11,11,9,6,6,4,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
Wild_exposed{0},1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,5,5,5,4,4,5,6,8,8,9,11,11,11,11,11,11,11,11,11,12,13,12,12,12,13,14,14,15,15,15,14,14,14,14,15,14,15,16,16,16,17,15,15,14,13,13,13,12,12,12,12,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,10,8,7,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild_infectious{0},0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,9,9,10,10,10,10,10,13,13,13,14,14,14,16,16,17,18,18,18,19,19,19,19,22,22,22,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,21,21,22,23,24,25,25,25,26,26,25,26,26,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,26,26,25,25,25,25,26,26,26,26,26,26,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,19,19,19,19,19,19,19,18,18,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Vacc_exposed{0},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,130,204,287,348,396,439,484,518,547,567,601,616,614,626,624,623,626,626,614,609,604,594,584,570,557,544,525,517,499,481,462,449,438,424,412,400,377,368,352,334,324,304,286,268,257,246,239,225,210,202,192,186,180,165,156,144,135,129,124,120,115,110,103,99,90,86,82,78,75,72,68,61,59,54,53,51,48,44,43,42,39,35,34,31,31,30,28,26,24,24,21,20,19,20,19,19,18,18,15,13,13,12,12,12,11,11,10,10,9,8,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2
Vacc_infectious{0},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,17,25,29,36,47,59,69,86,105,113,136,158,173,188,214,232,253,274,293,310,332,352,375,392,412,430,454,468,484,498,516,530,556,567,581,598,609,628,646,661,666,672,680,691,705,712,718,721,724,736,745,755,755,761,762,763,767,765,766,769,775,770,771,771,768,762,762,766,763,763,760,757,757,757,753,747,746,746,743,742,739,735,730,728,729,723,720,716,706,700,700,695,690,682,683,680,671,665,658,656,648,640,635,630,624,613,603,601,597,589,583,579,575,569,562,554,549,545,541,533,526,521,516,512,507,503,496,493,484,480,473,470,464,459,452,448,439,436,431,426,418,409,400,397,394,391,388,385,382,378,373,370,366,363,361,359,357,352,348,345,345,341,337,332,331,327,326,326,323,319,316,314,307,305,301,298,293,287,286,284,279,275,271,268,265,261,259,256,255,255,253,250,249,248,243,240,240,239,237,233,227,222,220,220,220,218,217,216,214,208,206,206,202,197,196,193,187,186,184,182,178,176,175,171,169,168,164,163,161,161,158,157,156,153,153,150,149,148,146,146,144,142,142,138,137,133,132,131,130,130,127,125,124,123,121,120,119,119,117,115,113,112,112,108,104,103,102,100,99,98,98,96,96,95
cases{0},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
noCases{0},0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,9,9,9,9,9,12,12,12,13,13,13,15,15,16,17,17,17,18,18,18,18,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,25,26,27,28,28,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
newInfections{0},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
